Timstamp,Epoch,Phase,Gender Acc,Age MAE,Best Gender Acc,Best Age MAE,Lr_rate
2018-03-28 02:43:07.663490,0,train,0.7954164123341678,8.282876001806848,0.7855841371918543,8.462310256809795,0.01
2018-03-28 02:43:46.853778,0,val,0.7959807073954984,9.476905703289075,0.7855841371918543,8.462310256809795,0.01
2018-03-28 03:04:07.939662,1,train,0.797934672670388,8.184702613424435,0.7855841371918543,8.462310256809795,0.01
2018-03-28 03:04:47.204437,1,val,0.8005894962486603,9.561633805625563,0.7855841371918543,8.462310256809795,0.01
2018-03-28 03:24:59.897364,2,train,0.7995741957932667,8.148005870906081,0.7855841371918543,8.462310256809795,0.01
2018-03-28 03:25:39.603721,2,val,0.7684887459807074,8.614030074587719,0.7855841371918543,8.462310256809795,0.01
2018-03-28 03:45:55.212073,3,train,0.7994945786631991,8.116255127156085,0.7855841371918543,8.462310256809795,0.01
2018-03-28 03:46:35.257934,3,val,0.7856377277599143,8.299488977603973,0.7856377277599143,8.299488977603973,0.001
2018-03-28 04:06:52.854681,4,train,0.8039560867295937,7.909415117173403,0.7856377277599143,8.299488977603973,0.001
2018-03-28 04:07:32.239469,4,val,0.7938370846730975,8.623270599916179,0.7856377277599143,8.299488977603973,0.001
2018-03-28 04:27:41.331571,5,train,0.8053095779407472,7.8693810780167475,0.7856377277599143,8.299488977603973,0.001
2018-03-28 04:28:21.457992,5,val,0.8010718113612004,7.964966908145182,0.8010718113612004,7.964966908145182,0.001
2018-03-28 07:14:08.026378,0,train,0.8058551027208417,7.848481186517749,0.8010718113612004,7.964966908145181,0.001
2018-03-28 07:14:47.561401,0,val,0.8019828510182208,7.999101090788969,0.8010718113612004,7.964966908145181,0.001
2018-03-28 07:35:13.314955,1,train,0.8056339440262088,7.83024268161501,0.8010718113612004,7.964966908145181,0.001
2018-03-28 07:35:52.980385,1,val,0.7513397642015005,9.120728632133746,0.8010718113612004,7.964966908145181,0.001
2018-03-28 07:56:18.388264,2,train,0.8057459977648228,7.824613534291251,0.8010718113612004,7.964966908145181,0.001
2018-03-28 07:56:58.396469,2,val,0.8019828510182208,8.022337842473135,0.8010718113612004,7.964966908145181,0.001
2018-03-28 08:17:24.312611,3,train,0.8059877979376214,7.822431515103522,0.8010718113612004,7.964966908145181,0.001
2018-03-28 08:18:03.864485,3,val,0.7246516613076098,8.026588273457264,0.8010718113612004,7.964966908145181,0.0001
2018-03-28 08:38:23.555524,4,train,0.8117379239980774,7.5917068567359465,0.8010718113612004,7.964966908145181,0.0001
2018-03-28 08:39:04.010846,4,val,0.8081993569131832,7.5886946943411875,0.8081993569131832,7.5886946943411875,0.0001
2018-03-28 08:59:17.945981,5,train,0.8127405100804133,7.5130962332327025,0.8081993569131832,7.5886946943411875,0.0001
2018-03-28 08:59:58.243182,5,val,0.8087352625937835,7.539844335722642,0.8087352625937835,7.539844335722642,0.0001
2018-03-28 09:20:13.489785,6,train,0.8131209030351819,7.475002528353725,0.8087352625937835,7.539844335722642,0.0001
2018-03-28 09:20:54.000924,6,val,0.8095927116827438,7.515396401557636,0.8095927116827438,7.515396401557636,0.0001
2018-03-28 09:41:13.006050,7,train,0.813790276684271,7.44780307771391,0.8095927116827438,7.515396401557636,0.0001
2018-03-28 09:41:53.622155,7,val,0.810075026795284,7.495584540939535,0.810075026795284,7.495584540939535,0.0001
