[AgePredModel] load_data: start loading...
[AgePredModel] load_data: Done! Get 339123 for train and 18660 for test!
[AgePredModel] load_data: loading finished !
[AgePredModel] train_model: start training...
[train_model] best weight file found, try to load ...
[train_model] Weights Load Successfull!
Epoch 0/127
----------
0.1% 21600/339123 		 Gender Loss 0.5160 		 Age MAE 7.81 		 Acc 0.7800 		 ETA 1382s
0.1% 22000/339123 		 Gender Loss 0.4041 		 Age MAE 7.25 		 Acc 0.8450 		 ETA 1380s
0.1% 22400/339123 		 Gender Loss 0.4659 		 Age MAE 7.77 		 Acc 0.8175 		 ETA 1378s
0.1% 22800/339123 		 Gender Loss 0.4216 		 Age MAE 7.26 		 Acc 0.8250 		 ETA 1375s
0.1% 23200/339123 		 Gender Loss 0.4650 		 Age MAE 7.25 		 Acc 0.8025 		 ETA 1373s
0.1% 23600/339123 		 Gender Loss 0.4829 		 Age MAE 7.68 		 Acc 0.8050 		 ETA 1371s
0.1% 24000/339123 		 Gender Loss 0.4019 		 Age MAE 6.89 		 Acc 0.8500 		 ETA 1368s
0.1% 24400/339123 		 Gender Loss 0.5081 		 Age MAE 7.63 		 Acc 0.7825 		 ETA 1366s
0.1% 24800/339123 		 Gender Loss 0.4708 		 Age MAE 7.95 		 Acc 0.7950 		 ETA 1364s
0.1% 25200/339123 		 Gender Loss 0.4405 		 Age MAE 7.23 		 Acc 0.8250 		 ETA 1361s
0.1% 25600/339123 		 Gender Loss 0.4913 		 Age MAE 7.25 		 Acc 0.7875 		 ETA 1359s
0.1% 26000/339123 		 Gender Loss 0.4603 		 Age MAE 8.12 		 Acc 0.8250 		 ETA 1357s
0.1% 26400/339123 		 Gender Loss 0.4940 		 Age MAE 7.69 		 Acc 0.7825 		 ETA 1355s
0.1% 26800/339123 		 Gender Loss 0.4769 		 Age MAE 7.83 		 Acc 0.7950 		 ETA 1353s
0.1% 27200/339123 		 Gender Loss 0.4610 		 Age MAE 8.09 		 Acc 0.8000 		 ETA 1351s
0.1% 27600/339123 		 Gender Loss 0.4653 		 Age MAE 8.28 		 Acc 0.8000 		 ETA 1348s
0.1% 28000/339123 		 Gender Loss 0.4886 		 Age MAE 7.60 		 Acc 0.7750 		 ETA 1346s
0.1% 28400/339123 		 Gender Loss 0.4662 		 Age MAE 8.08 		 Acc 0.8150 		 ETA 1344s
0.1% 28800/339123 		 Gender Loss 0.4729 		 Age MAE 7.84 		 Acc 0.8000 		 ETA 1342s
